spec,rank,score,validated,frag_cov
index=1266,4,345.2641090401897,False,0.21428571428571427
index=1266,5,344.70389322107155,False,0.21428571428571427
index=1267,1,428.58723194810557,True,0.24489795918367346
index=1267,2,404.5240338752162,False,0.23469387755102042
index=1268,1,271.28112942761425,True,0.21428571428571427
index=1268,2,271.17729258125473,False,0.22448979591836735
index=1268,3,270.91738131000574,False,0.21428571428571427
index=1268,4,270.81406131783245,False,0.22448979591836735
index=1269,1,615.8329691819987,True,0.5102040816326531
index=1269,2,591.4568870126215,False,0.45918367346938777
index=1269,3,567.2297071875307,False,0.45918367346938777
index=1269,4,549.6127341093371,False,0.35714285714285715
index=1270,1,798.4758289637061,True,0.5612244897959183
index=1270,2,703.1173929845353,False,0.5
index=1270,3,701.9255075024591,False,0.5204081632653061
index=1270,5,632.7942700485264,False,0.4897959183673469
index=1271,1,450.63874398668486,True,0.2857142857142857
index=1271,2,440.5838820362284,False,0.3163265306122449
index=1271,3,427.7849434509982,False,0.2755102040816326
index=1271,4,426.21042203937736,False,0.2857142857142857
index=1271,5,422.1073730779114,False,0.30612244897959184
index=1272,1,537.2454045146126,True,0.3469387755102041
index=1272,2,536.6583038921879,False,0.3469387755102041
index=1272,3,515.3617967662667,False,0.336734693877551
index=1272,4,514.7937774481145,False,0.336734693877551
index=1272,5,471.88588197503833,False,0.3163265306122449
index=1273,1,718.0051346338985,True,0.3673469387755102
index=1273,2,717.7976143443412,False,0.3673469387755102
index=1273,4,590.9060134042298,False,0.32653061224489793
index=1274,1,404.9428271598395,True,0.2653061224489796
index=1274,2,404.9428271598395,False,0.25510204081632654
index=1274,3,403.1071315206264,False,0.2653061224489796
index=1274,5,399.0982399882967,False,0.2653061224489796
index=1275,1,269.548598298969,True,0.20408163265306123
index=1275,2,266.9811041771984,False,0.20408163265306123
index=1275,3,266.7521433371186,False,0.20408163265306123
index=1275,4,254.63883967055233,False,0.19387755102040816
index=1275,5,251.79858562404792,False,0.19387755102040816
index=1276,1,297.0254106645123,True,0.25510204081632654
index=1276,2,297.0254106645123,False,0.25510204081632654
index=1276,3,297.0254106645123,False,0.25510204081632654
index=1277,1,191.93232812981447,True,0.1836734693877551
index=1277,2,191.80788442841555,False,0.1836734693877551
index=1277,3,191.49683060915888,False,0.1836734693877551
index=1277,4,191.3733625378025,False,0.1836734693877551
index=1278,1,647.211269587033,True,0.5612244897959183
index=1278,2,575.5675414646348,False,0.5204081632653061
index=1278,3,575.3858334862575,False,0.4897959183673469
index=1278,4,550.7291311668431,False,0.5204081632653061
index=1278,5,528.4888824544842,False,0.45918367346938777
index=1279,1,591.6965427195888,True,0.47959183673469385
index=1279,2,568.6851725259035,False,0.45918367346938777
index=1279,3,523.1868544965246,False,0.42857142857142855
index=1279,4,478.42869557504196,False,0.3877551020408163
